d,k,n_variables,instance_type,method,n_instances,feasible_solution_count,no_incumbent_count,optimal_found_count,optimal_found_pct,beam_width,mean_absolute_gap,max_absolute_gap,mean_relative_error_pct,max_relative_error_pct,mean_time_s,std_time_s,mean_dynamic_programming_time_s
2,4,500,random,SCIP,50,50,0,0,0.0,,2834.5260741939196,3350.3246528730187,100.0,100.0,0.08053452075997485,0.008290522597950564,0.027002696990966798
2,4,500,random,Tabu search,50,50,0,0,0.0,,56.59983396144799,131.7201188292729,2.0167989667307973,4.5047703983197165,0.0780202526598805,0.008285253294767855,0.027002696990966798
4,2,250,random,Heuristic,50,50,0,50,100.0,16,0.0,0.0,0.0,0.0,0.02403071880340576,0.004272103618890259,0.01850341796875
4,2,250,random,Matrix method,50,50,0,37,74.0,,0.05142560244228662,0.7140460457740119,0.0005530379886149368,0.00799532807388453,0.0375454568862915,0.008058587941166616,0.01850341796875
4,2,250,random,SCIP,50,50,0,0,0.0,,8145.962042170806,10969.577473071582,85.29414937452233,100.0,0.04043056324000645,0.00846470313887744,0.01850341796875
4,2,250,random,Tabu search,50,50,0,0,0.0,,139.35158302540253,280.1456102696575,1.4984670706277048,3.3926312777588965,0.037986648199985214,0.008115879276020718,0.01850341796875
4,2,500,random,Heuristic,50,50,0,50,100.0,16,0.0,0.0,0.0,0.0,0.05894494533538818,0.009526759078759616,0.04115365028381348
4,2,500,random,Matrix method,50,50,0,32,64.0,,0.08080031662568217,0.8287310029991204,0.0004431907995577867,0.004724779004660461,0.07842354774475098,0.009000069852667297,0.04115365028381348
4,2,500,random,SCIP,50,50,0,0,0.0,,18465.976553451736,20530.36472805885,97.6083607419504,100.0,0.08559252897979604,0.012334830994760652,0.04115365028381348
4,2,500,random,Tabu search,50,50,0,0,0.0,,606.997953311651,1006.6023807783749,3.235067381226056,5.750703952002779,0.07928793664017576,0.009076927328108922,0.04115365028381348
4,3,250,random,Heuristic,50,50,0,0,0.0,25,126.33304376776435,290.1880817191195,1.1679852278841185,2.46331220159954,0.046245694160461426,0.001915028873594895,0.08146149635314942
4,3,250,random,Matrix method,50,50,0,38,76.0,,0.04879192652540951,0.8250741721349186,0.00045101485568177713,0.00824824425456583,0.04700028896331787,0.003206100458980574,0.08146149635314942
4,3,250,random,SCIP,50,50,0,0,0.0,,10178.356360652037,13027.034742504895,93.51221133721909,100.0,0.05050459760001104,0.003521706370655513,0.08146149635314942
4,3,250,random,Tabu search,50,50,0,0,0.0,,198.4872593254122,575.5482842159963,1.8335389260662285,5.290582712485146,0.047557435039962,0.0032005200004976988,0.08146149635314942
4,3,500,random,Heuristic,50,50,0,0,0.0,24,259.91464310958565,468.35623322821993,1.203609407541081,2.376638417802237,0.10195905685424805,0.004318030492539747,0.1626598596572876
4,3,500,random,Matrix method,50,50,0,31,62.0,,0.1536071875347261,1.3057100543337583,0.0007025355048393399,0.006132009321825517,0.0956491470336914,0.009799609982014849,0.1626598596572876
4,3,500,random,SCIP,50,50,0,0,0.0,,21711.34698585965,24301.73420120487,99.87268939177687,100.0,0.10861871412005712,0.011793510193500573,0.1626598596572876
4,3,500,random,Tabu search,50,50,0,0,0.0,,774.4156790816019,1251.7343939082384,3.5834575276966962,5.577155442336962,0.09671995781998703,0.009818238017621357,0.1626598596572876
4,4,250,random,Heuristic,50,50,0,0,0.0,56,152.72404730519457,351.74925220684963,1.2793978493942106,3.3654978888460376,0.1099135398864746,0.009562887893943883,0.33004329204559324
4,4,250,random,Matrix method,50,50,0,38,76.0,,0.1297130315623872,1.2781618884364434,0.0010425215633854401,0.010600193976443597,0.09656410217285157,0.01312257623441099,0.33004329204559324
4,4,250,random,SCIP,50,50,0,0,0.0,,7841.516660185058,13937.591063615726,64.71595013937554,100.0,0.10130918630005908,0.013472848161509857,0.33004329204559324
4,4,250,random,Tabu search,50,50,0,0,0.0,,173.06848010787323,440.686139149635,1.4512003871553438,3.6644993994565276,0.09727931913988869,0.013136376460181752,0.33004329204559324
4,4,500,random,Heuristic,50,50,0,0,0.0,40,482.97252031754533,836.0357447761526,2.0304917202383224,3.514289073785035,0.18132805824279785,0.01360953138054167,0.6721785831451416
4,4,500,random,Matrix method,50,50,0,27,54.0,,0.24793756210063292,1.7126447219052352,0.0010155689824237677,0.006933102652734066,0.17510173320770264,0.013057537653101572,0.6721785831451416
4,4,500,random,SCIP,50,50,0,0,0.0,,18875.361824121534,27548.138147822647,78.46932192790536,100.0,0.18540192656015278,0.014967249494415155,0.6721785831451416
4,4,500,random,Tabu search,50,50,0,0,0.0,,479.3657151708893,1330.789221147479,2.0234794717629394,5.4634789914319315,0.17634579318004398,0.01297691103632403,0.6721785831451416
