n,dits,k,instance_index,seed,matrix_cost,matrix_time,tau,target_reached,time_to_target,final_cost,target_difference,time_ratio,ratio_lower_bound,status,nodes,best_bound,gap
500,2,2,43,43,-2271.5743704297392,0.07330513000488281,2233.830790368868,True,0.23691007200000058,-2271.5743704297392,0.0,3.2318348249872844,,optimal,1,-2271.5743704297356,0.0
500,2,2,44,44,-2389.562027759879,0.07708382606506348,2233.830790368868,True,0.21582286699998576,-2389.562027759879,0.0,2.799846323375516,,optimal,1,-2389.562027759881,0.0
500,2,2,45,45,-2290.464937399959,0.07225322723388672,2233.830790368868,True,0.2034048589999884,-2290.464937399959,0.0,2.815166419370561,,optimal,1,-2290.46493739996,0.0
500,2,2,46,46,-2421.5547712471302,0.07348227500915527,2233.830790368868,True,0.26305008700001054,-2421.5547712471302,0.0,3.5797760339787614,,optimal,1,-2421.5547712471325,0.0
500,2,2,47,47,-2385.912439040184,0.07529807090759277,2233.830790368868,True,0.21265101800003094,-2385.912439040184,0.0,2.824123054374133,,optimal,1,-2385.9124390401857,0.0
500,2,2,48,48,-1957.185341968081,0.07334518432617188,2233.830790368868,True,0.2223602279999568,-1957.185341968081,0.0,3.031694991877083,,optimal,1,-1957.185341968081,0.0
500,2,2,49,49,-2573.532466481159,0.07351374626159668,2233.830790368868,True,0.22027857099999437,-2573.532466481159,0.0,2.996426956886934,,optimal,1,-2573.5324664811565,0.0
500,2,4,0,0,-2734.1159606349315,0.08172178268432617,1728.5832349065518,True,1.5107320130000517,-2734.1159606349315,0.0,18.486283135008048,,optimal,1,-2734.115960634931,0.0
500,2,4,1,1,-2870.616742651981,0.0825505256652832,1728.5832349065518,True,1.199630343000024,-2870.616742651981,0.0,14.532073942983152,,optimal,1,-2870.6167426519787,0.0
500,2,4,2,2,-2786.115967108464,0.08040928840637207,1728.5832349065518,True,1.7291302069999688,-2786.115967108464,0.0,21.504110299562644,,optimal,1,-2786.1159671084642,0.0
500,2,4,3,3,-2808.936173915723,0.08789372444152832,1728.5832349065518,True,1.6499701140000411,-2808.936173915723,0.0,18.772331295366723,,optimal,1,-2808.9361739157266,0.0
500,2,4,4,4,-2688.4361307155505,0.0912330150604248,1728.5832349065518,True,1.4321589670000208,-2688.4361307155505,0.0,15.697814722570369,,optimal,1,-2688.4361307155505,0.0
500,2,4,5,5,-3012.234702029298,0.07579660415649414,1728.5832349065518,True,1.3626807649999932,-3012.2587407924248,-0.02403876312655484,17.97812422026879,,optimal,1,-3012.258740792422,0.0
500,2,4,6,6,-2913.6201905992825,0.07909274101257324,1728.5832349065518,True,1.6145412089999809,-2913.6201905992825,0.0,20.41326660740358,,optimal,1,-2913.6201905992875,0.0
500,2,4,7,7,-3224.2767385393095,0.09417963027954102,1728.5832349065518,True,1.3250799019999704,-3224.2767385393095,0.0,14.069708046919594,,optimal,1,-3224.2767385393095,0.0
500,2,4,8,8,-3077.707480847456,0.09150910377502441,1728.5832349065518,True,1.6011950490000117,-3077.707480847456,0.0,17.497658516430864,,optimal,1,-3077.7074808474586,0.0
500,2,4,9,9,-2836.8125582385583,0.16744780540466309,1728.5832349065518,True,1.529253553999979,-2836.8125582385583,0.0,9.13271780603099,,optimal,1,-2836.8125582385624,0.0
500,2,4,10,10,-2783.549994923542,0.08359527587890625,1728.5832349065518,True,1.3282290020000005,-2783.549994923542,0.0,15.888804576995899,,optimal,1,-2783.5499949235473,0.0
500,2,4,11,11,-2802.8714728766963,0.07792973518371582,1728.5832349065518,True,1.3713365579999959,-2802.8714728766963,0.0,17.59708992680563,,optimal,1,-2802.8714728766968,0.0
500,2,4,12,12,-2778.0109811868997,0.08024024963378906,1728.5832349065518,True,1.279404741999997,-2778.0109811868997,0.0,15.94467549439479,,optimal,1,-2778.010981186897,0.0
500,2,4,13,13,-2709.8893886295123,0.07486176490783691,1728.5832349065518,True,1.4066610550000291,-2709.8893886295123,0.0,18.79011344084372,,optimal,1,-2709.889388629516,0.0
500,2,4,14,14,-2702.683641986833,0.07954216003417969,1728.5832349065518,True,1.5202460670000164,-2702.683641986833,0.0,19.112456417411327,,optimal,1,-2702.6836419868364,0.0
500,2,4,15,15,-2765.741470149688,0.0784912109375,1728.5832349065518,True,1.3096382140000173,-2765.741470149688,0.0,16.685157463589647,,optimal,1,-2765.741470149692,0.0
500,2,4,16,16,-2672.667928235358,0.08243632316589355,1728.5832349065518,True,1.632223204000013,-2672.667928235358,0.0,19.79980597527807,,optimal,1,-2672.6679282353557,0.0
