series,value,n,k,d,method,median_baseline_rss_mib,min_baseline_rss_mib,max_baseline_rss_mib,median_peak_rss_mib,min_peak_rss_mib,max_peak_rss_mib,median_incremental_peak_rss_mib,min_incremental_peak_rss_mib,max_incremental_peak_rss_mib
n,3500,3500,3,3,beam_dp,47.40625,47.38671875,47.41796875,49.859375,49.84375,49.9765625,2.453125,2.42578125,2.58984375
n,3500,3500,3,3,exact_dp,47.3828125,47.375,47.390625,69.57421875,69.40625,69.60546875,22.19140625,22.015625,22.23046875
n,3500,3500,3,3,smvc,64.21875,64.1640625,64.29296875,73.98828125,73.9453125,74.078125,9.78125,9.76953125,9.78515625
n,3500,3500,3,3,stc,374.1953125,374.11328125,374.33203125,561.640625,560.16796875,563.84765625,187.52734375,185.97265625,189.515625
n,3500,3500,3,3,tabu,47.43359375,47.4140625,47.48046875,50.7421875,50.7265625,50.79296875,3.3125,3.30859375,3.3125
n,4000,4000,3,3,beam_dp,47.56640625,47.4921875,47.5859375,50.265625,50.23828125,50.28515625,2.71875,2.6796875,2.74609375
n,4000,4000,3,3,exact_dp,47.55859375,47.51953125,47.5625,72.7109375,72.671875,72.8984375,25.15234375,25.15234375,25.3359375
n,4000,4000,3,3,smvc,64.46875,64.375,64.66015625,75.484375,75.38671875,75.6796875,11.015625,11.01171875,11.01953125
n,4000,4000,3,3,stc,374.35546875,374.265625,374.41796875,586.1875,586.12109375,586.296875,211.85546875,211.83203125,211.87890625
n,4000,4000,3,3,tabu,47.62109375,47.62109375,47.69921875,51.33203125,51.328125,51.4140625,3.7109375,3.70703125,3.71484375
